,eq,60N,60S
1980-06-29,-3.9022094987117666,-11.992406075187239,65.54220248356388
1980-06-30,-4.122103898233671,-12.09077921834752,65.19849753490642
1980-07-01,-4.489362801676679,-11.406190765630631,65.82420678868375
1980-07-02,-4.469348133166552,-11.478970913409855,65.87662793705837
1980-07-03,-4.81108475608582,-11.336829272895487,66.10192085509902
1980-07-04,-5.453263785621657,-11.838947621121939,66.16647090938271
1980-07-05,-5.580516288717607,-11.632047578394884,65.40973003750487
1980-07-06,-6.642075445207978,-10.832651591344423,66.6025053749801
1980-07-07,-6.214789490932937,-11.032677601166416,67.82100485616057
1980-07-08,-7.360661405338755,-11.293200791945553,67.22301902545414
1980-07-09,-7.044573099536296,-10.672167591687797,67.78175951872096
1980-07-10,-7.93783094402878,-10.741027401454371,67.95826237070368
1980-07-11,-8.65990374119011,-10.385136331070974,66.83329025304494
1980-07-12,-9.323359524112474,-10.529407453692867,65.0022145313139
1980-07-13,-10.315639909120385,-10.395244746741982,67.22867529701965
1980-07-14,-9.870809525790532,-10.533720813566907,66.83996257053305
1980-07-15,-10.395972630803646,-10.185967529008368,67.99605294926138
1980-07-16,-9.86941475911041,-9.764354405951854,67.64870213555893
1980-07-17,-10.613385213894265,-10.321354732575633,66.3267382407168
1980-07-18,-11.134803718519036,-9.640099397567369,65.80345806445631
1980-07-19,-11.49866568161002,-9.555890677493489,66.11405971087234
1980-07-20,-11.74719980632081,-9.360545009274901,68.00255596750496
1980-07-21,-12.420114539156561,-9.034938125259572,68.04265729036354
1980-07-22,-12.630014010461453,-8.494034563847272,68.2319824967336
1980-07-23,-12.629773804894814,-8.644806482792093,68.46091860842425
1980-07-24,-12.832102816418756,-8.704421336686119,69.97075985179379
1980-07-25,-12.716630686039093,-8.359749815226005,70.77881074068912
1980-07-26,-13.319593934386189,-8.32142024697289,71.65203921557756
1980-07-27,-13.47426167198216,-8.174816770334177,69.34923188667281
1980-07-28,-13.475361760326853,-7.565456198264021,66.92139926697675
1980-07-29,-14.011152571335094,-8.071321751408902,67.01520100523949
1980-07-30,-14.237724561116607,-7.648127265484049,68.71790987276034
1980-07-31,-15.093471693242133,-7.314891003333289,66.20531046049028
1980-08-01,-15.310426138491893,-7.187262847362209,67.74088320203558
1980-08-02,-15.363568210206234,-6.583107170047557,70.00455493109801
1980-08-03,-15.549558277337194,-6.181114486123257,68.85378648353083
1980-08-04,-15.500339381150331,-6.058900811444503,69.18708558279315
1980-08-05,-14.913568289864259,-6.410975770496607,71.45342702740221
1980-08-06,-15.362405030512702,-5.770843709810126,71.69843716732613
1980-08-07,-15.30628760549249,-5.670919973065287,70.12369266230002
1980-08-08,-14.92687920338932,-5.742781735693943,71.63970842539464
1980-08-09,-15.554370912155296,-5.835027232635412,74.29500544888506
1980-08-10,-14.897941491179989,-5.782922603599557,74.54575186218187
1980-08-11,-15.077597793344346,-5.506206239357308,75.70404400714406
1980-08-12,-15.556383137777113,-5.528552423331772,76.34453629770445
1980-08-13,-15.361586300738361,-5.115180388391127,75.60204960542876
1980-08-14,-15.39178254281258,-4.2373834301474815,75.15677773693201
1980-08-15,-15.405957991992874,-4.122599859444219,77.57227495215268
1980-08-16,-15.826184709745611,-3.617776728629955,77.85897960594028
1980-08-17,-15.537836494854464,-3.11098978685305,77.52212312193092
1980-08-18,-15.885015452753535,-3.37675929650703,76.70168944812012
1980-08-19,-16.237052496900667,-2.9560700038447414,76.44020920551337
